,epoch,batch_size,learning_rate,bottleneck_dim,weight_decay,auto_encoder,batch_normalization,error_rate
115,200,32,0.01,,0.001,CNN,False,0.12244271529572351
116,200,32,0.01,,0.0001,CNN,True,0.05165583129440035
117,200,32,0.01,,0.0001,CNN,False,0.01752971096762589
118,200,32,0.01,,1e-05,CNN,True,0.04243246838450432
119,200,32,0.01,,1e-05,CNN,False,0.016546108414019857
120,200,64,0.0001,,0.01,CNN,True,0.08287219703197479
121,200,64,0.0001,,0.01,CNN,False,0.14254285395145416
122,200,64,0.0001,,0.001,CNN,True,0.08230191469192505
123,200,64,0.0001,,0.001,CNN,False,0.136317178606987
124,200,64,0.0001,,0.0001,CNN,True,0.07103480398654938
125,200,64,0.0001,,0.0001,CNN,False,0.08439086377620697
126,200,64,0.0001,,1e-05,CNN,True,0.09940671175718307
127,200,64,0.0001,,1e-05,CNN,False,0.06576605886220932
128,200,64,0.001,,0.01,CNN,True,0.05456974357366562
129,200,64,0.001,,0.01,CNN,False,0.12826429307460785
130,200,64,0.001,,0.001,CNN,True,0.039015114307403564
131,200,64,0.001,,0.001,CNN,False,0.12335146218538284
132,200,64,0.001,,0.0001,CNN,True,0.03892948850989342
133,200,64,0.001,,0.0001,CNN,False,0.028535986319184303
134,200,64,0.001,,1e-05,CNN,True,0.036108385771512985
135,200,64,0.001,,1e-05,CNN,False,0.02884247899055481
136,200,64,0.01,,0.01,CNN,True,0.07317160815000534
137,200,64,0.01,,0.01,CNN,False,0.1278270035982132
138,200,64,0.01,,0.001,CNN,True,0.04770047962665558
139,200,64,0.01,,0.001,CNN,False,0.12516503036022186
140,200,64,0.01,,0.0001,CNN,True,0.03866231441497803
141,200,64,0.01,,0.0001,CNN,False,0.01897420920431614
142,200,64,0.01,,1e-05,CNN,True,0.0416630394756794
143,200,64,0.01,,1e-05,CNN,False,0.015139646828174591
144,100,16,0.0001,16.0,0.01,linear,False,0.153300284913608
145,100,16,0.0001,32.0,0.01,linear,False,0.15321240637983594
146,100,16,0.0001,64.0,0.01,linear,False,0.15367313623428344
147,100,16,0.0001,16.0,0.001,linear,False,0.13261289937155588
148,100,16,0.0001,32.0,0.001,linear,False,0.15361293511731283
149,100,16,0.0001,64.0,0.001,linear,False,0.15330672221524375
150,100,16,0.0001,16.0,0.0001,linear,False,0.13141560980251857
151,100,16,0.0001,32.0,0.0001,linear,False,0.13267942667007446
152,100,16,0.0001,64.0,0.0001,linear,False,0.1203733137675694
153,100,16,0.0001,16.0,1e-05,linear,False,0.10333422826869147
154,100,16,0.0001,32.0,1e-05,linear,False,0.08983135883297239
155,100,16,0.0001,64.0,1e-05,linear,False,0.11289788952895573
156,100,16,0.001,16.0,0.01,linear,False,0.1488254598208836
157,100,16,0.001,32.0,0.01,linear,False,0.14904013403824398
158,100,16,0.001,64.0,0.01,linear,False,0.1519275209733418
159,100,16,0.001,16.0,0.001,linear,False,0.15222715054239547
160,100,16,0.001,32.0,0.001,linear,False,0.1549219182559422
161,100,16,0.001,64.0,0.001,linear,False,0.1573228474174227
162,100,16,0.001,16.0,0.0001,linear,False,0.13625410156590598
163,100,16,0.001,32.0,0.0001,linear,False,0.13275672027042934
164,100,16,0.001,64.0,0.0001,linear,False,0.1318951747247151
165,100,16,0.001,16.0,1e-05,linear,False,0.09015588334628515
166,100,16,0.001,32.0,1e-05,linear,False,0.0946468819464956
167,100,16,0.001,64.0,1e-05,linear,False,0.09927492588758469
168,100,16,0.01,16.0,0.01,linear,False,0.15678811711924417
169,100,16,0.01,32.0,0.01,linear,False,0.15403672627040318
170,100,16,0.01,64.0,0.01,linear,False,0.15072846582957677
171,100,16,0.01,16.0,0.001,linear,False,0.15368651066507613
172,100,16,0.01,32.0,0.001,linear,False,0.15121189398424967
173,100,16,0.01,64.0,0.001,linear,False,0.14877033276217325
174,100,16,0.01,16.0,0.0001,linear,False,0.13516705759934017
175,100,16,0.01,32.0,0.0001,linear,False,0.13918344123022897
176,100,16,0.01,64.0,0.0001,linear,False,0.1391333030802863
177,100,16,0.01,16.0,1e-05,linear,False,0.13901315416608537
178,100,16,0.01,32.0,1e-05,linear,False,0.14075304567813873
179,100,16,0.01,64.0,1e-05,linear,False,0.13444236985274724
180,100,32,0.0001,16.0,0.01,linear,False,0.153130390388625
181,100,32,0.0001,32.0,0.01,linear,False,0.15531924068927766
182,100,32,0.0001,64.0,0.01,linear,False,0.15735793582030705
183,100,32,0.0001,16.0,0.001,linear,False,0.15223010735852377
184,100,32,0.0001,32.0,0.001,linear,False,0.15594466669218882
185,100,32,0.0001,64.0,0.001,linear,False,0.15225007746900832
186,100,32,0.0001,16.0,0.0001,linear,False,0.1285796665719577
187,100,32,0.0001,32.0,0.0001,linear,False,0.133681920170784
188,100,32,0.0001,64.0,0.0001,linear,False,0.1345880763871329
189,100,32,0.0001,16.0,1e-05,linear,False,0.12376645079680852
